hero,degree
SPIDER-MAN/PETER PARKER,1577
CAPTAIN AMERICA,1334
IRON MAN/TONY STARK,1150
THING/BENJAMIN J. GR,963
THOR/DR. DONALD BLAK,956
HUMAN TORCH/JOHNNY S,886
MR. FANTASTIC/REED R,854
HULK/DR. ROBERT BRUC,835
WOLVERINE/LOGAN,819
INVISIBLE WOMAN/SUE,762
SCARLET WITCH/WANDA,643
BEAST/HENRY &HANK& P,635
DR. STRANGE/STEPHEN,631
"WATSON-PARKER, MARY",622
DAREDEVIL/MATT MURDO,619
HAWK,605
VISION,603
CYCLOPS/SCOTT SUMMER,585
WASP/JANET VAN DYNE,581
"JAMESON, J. JONAH",577
ANT-MAN/DR. HENRY J.,561
SUB-MARINER/NAMOR MA,530
STORM/ORORO MUNROE S,523
PROFESSOR X/CHARLES,496
"FURY, COL. NICHOLAS",471
MARVEL GIRL/JEAN GRE,466
COLOSSUS II/PETER RA,452
NIGHTCRAWLER/KURT WA,444
ANGEL/WARREN KENNETH,444
ICEMAN/ROBERT BOBBY,427
SHE-HULK/JENNIFER WA,415
"JARVIS, EDWIN",399
WONDER MAN/SIMON WIL,390
BLACK WIDOW/NATASHA,384
"ROBERTSON, JOE",380
"PARKER, MAY",377
HERCULES [GREEK GOD],353
QUICKSILVER/PIETRO M,342
SHADOWCAT/KATHERINE,329
"JONES, RICHARD MILHO",322
ODIN [ASGARDIAN],321
ROGUE /,320
BLACK PANTHER/T'CHAL,318
SILVER SURFER/NORRIN,310
CANNONBALL II/SAM GU,307
PUNISHER II/FRANK CA,299
CAPTAIN BRITAIN/BRIA,279
"NELSON, FRANKLIN FOG",278
"RICHARDS, FRANKLIN B",270
DR. DOOM/VICTOR VON,270
CRYSTAL [INHUMAN],262
HAVOK/ALEX SUMMERS,259
"SUMMERS, NATHAN CHRI",258
LOKI [ASGARDIAN],255
BALDER [ASGARDIAN],255
"BANNER, BETTY ROSS T",253
IRON MAN IV/JAMES R.,250
"LEEDS, BETTY BRANT",249
KINGPIN/WILSON FISK,248
"THOMPSON, EUGENE FLA",243
SIF,240
HOGUN [ASGARDIAN],234
FANDRAL [ASGARDIAN],234
VOLSTAGG,233
"CAGE, LUKE/CARL LUCA",232
"DUGAN, TIMOTHY ALOYI",227
WOLFSBANE/RAHNE SINC,225
PSYLOCKE/ELISABETH B,224
BANSHEE/SEAN CASSIDY,223
WONG,221
FALCON/SAM WILSON,221
MAGNETO/MAGNUS/ERIC,215
"ROSS, GEN. THADDEUS",213
SUNSPOT/ROBERTO DACO,212
BLACK KNIGHT V/DANE,211
"MASTERS, ALICIA REIS",206
IRON FIST/DANIEL RAN,199
GAMBIT/REMY LEBEAU,197
"NORRISS, SISTER BARB",192
CLEA,191
JUBILEE/JUBILATION L,189
BOOMER/TABITHA SMITH,188
MOON KNIGHT/MARC SPE,187
USAGENT/CAPTAIN JOHN,184
"OSBORN, HARRY",182
"MACTAGGERT, MOIRA KI",179
POLARIS/LORNA DANE,177
QUASAR III/WENDELL V,176
KA-ZAR/KEVIN PLUNDER,176
CAPTAIN MARVEL II/MO,175
NOVA/RICHARD RIDER,174
MOCKINGBIRD/DR. BARB,174
SHANG-CHI,174
MIRAGE II/DANIELLE M,172
BINARY/CAROL DANVERS,172
"HUDSON, HEATHER",172
TIGRA/GREER NELSON,169
SPIDER-MAN CLONE/BEN,167
"PAGE, KAREN",165
MEDUSA/MEDUSALITH AM,163
NAMORITA/NITA PRENTI,163
ZABU,163
GHOST RIDER II/JOHNN,160
"URICH, BEN",158
FIRESTAR/ANGELICA JO,156
MOONDRAGON/HEATHER D,154
DRACULA/VLAD TEPES,151
HEIMDALL [ASGARDIAN],145
"OSBORN, LIZ ALLAN",145
SERSI/SYLVIA,143
SASQUATCH/WALTER LAN,141
DAZZLER II/ALLISON B,141
THUNDERSTRIKE/ERIC K,141
JUSTICE II/VANCE AST,139
MEGGAN,139
"CARTER, SHARON",136
GALACTUS/GALAN,135
GORGON [INHUMAN],135
WHITE QUEEN/EMMA FRO,135
PHOENIX III/RACHEL S,134
BLACK BOLT/BLACKANTO,134
KARNAK [INHUMAN],132
BISHOP /,131
PUCK/EUGENE MILTON J,131
"WATSON, ANNA",131
STARFOX/EROS,131
RED SKULL/JOHANN SCH,130
DOC SAMSON/DR. LEONA,129
ENCHANTRESS/AMORA/HE,129
NIGHTHAWK II/KYLE RI,129
THUNDERBIRD II/JAMES,127
MAGIK/ILLYANA RASPUT,126
HELLCAT/PATSY WALKER,126
FORGE,124
"KINCAID, DR. JANE FO",121
"KNIGHT, MISTY",121
MAN-THING/THEODORE T,121
GHOST RIDER III/DAN,120
SPEEDBALL/ROBBIE BAL,120
"TALBOT, GLENN",120
TRITON,119
"HOGAN, VIRGINIA PEPP",119
CAPTAIN MARVEL/CAPTA,119
SHAMAN/MICHAEL TWOYO,117
"COOPER, DR. VALERIE",116
UATU,115
"HOGAN, HAROLD J. HAP",115
"JAMESON, COL. JOHN",115
SPIDER-WOMAN/JESSICA,114
CYPHER/DOUG RAMSEY,114
LOCKHEED,114
MYSTIQUE/RAVEN DARKH,114
WARLOCK III,114
DAGGER/TANDY BOWEN,113
SHANNA/SHANNA O'HARA,113
HUMAN TORCH ANDROID/,113
NORTHSTAR/JEAN-PAUL,113
SANDMAN/WILLIAM BAKE,113
GEE/ALEX POWER,111
MEPHISTO,111
"GRANT, GLORIA GLORY",110
ANT-MAN II/SCOTT HAR,108
AURORA/JEANNE-MARIE,107
LOCKJAW [INHUMAN],107
SIRYN/THERESA ROURKE,105
CLOAK/TYRONE JOHNSON,105
BLACK CAT/FELICIA HA,104
LYJA LAZERFIST [SKRU,103
"JONES, GABE",103
KARNILLA [ASGARDIAN],103
"TARR, BLACK JACK",102
PHARAOH RAMA-TUT,102
SPIDER-WOMAN II/JULI,101
DR. OCTOPUS/OTTO OCT,101
"GYRICH, HENRY PETER",100
POWER MAN/ERIK JOSTE,99
VIZIER,99
"WING, COLLEEN",97
HIGH EVOLUTIONARY/HE,97
THANOS,97
BEETLE/ABNER RONALD,97
BLOB/FRED J. DUKES,96
WEREWOLF BY NIGHT/JA,96
REDWING,96
DR. DRUID/ANTHONY LU,96
FRENCHIE/JEAN-PAUL D,95
LILANDRA NERAMANI [S,94
HELLSTORM/DAIMON HEL,93
"STACY, GWEN",93
MOONSTONE II/KARLA S,92
MICROCHIP/LINUS LIEB,91
"SITWELL, JASPER",91
GREEN GOBLIN/NORMAN,91
NIGHT THRASHER/DUANE,91
SABRETOOTH/VICTOR CR,88
"WU, LEIKO",88
X-MAN/NATHAN GREY,88
"ROM, SPACEKNIGHT",87
DOMINO III/BEATRICE/,87
"ARBOGAST, BAMBI",87
BOX IV/MADISON JEFFR,87
COUNTERWEIGHT II/KAT,86
"DE LA FONTAINE, CONT",86
NOMAD III/JACK MONRO,85
"RESTON, CLIVE",85
RICTOR/JULIO ESTEBAN,85
COUNTERWEIGHT/JACK P,84
APOCALYPSE/EN SABAH,84
"SMITH, SIR DENIS NAY",84
VASHTI,84
LIGHTSPEED/JULIE POW,84
WARLOCK II/ADAM WARL,83
GARGOYLE II/ISAAC CH,83
MANDARIN,82
SILVER SABLE,82
"ALRAUNE, MARLENE",82
